"","a1_b1","a1_b2","a2_b1","a2_b2","n","sd","f_a","f_b","f_ab","pwr_a","pwr_b","pwr_ab"
"1",0,0,0,0,10,0.5,0,0,0,5,5,5
"2",0.2,0,0,0,10,0.5,0.105409255338946,0.105409255338946,0.105409255338946,9.44388512559688,9.44388512559688,9.44388512559688
"3",0.4,0,0,0,10,0.5,0.210818510677892,0.210818510677892,0.210818510677892,23.3814772917958,23.3814772917958,23.3814772917958
"4",0.6,0,0,0,10,0.5,0.316227766016838,0.316227766016838,0.316227766016838,45.4976890622469,45.4976890622469,45.4976890622469
"5",0.8,0,0,0,10,0.5,0.421637021355784,0.421637021355784,0.421637021355784,69.214061859491,69.214061859491,69.214061859491
"6",1,0,0,0,10,0.5,0.52704627669473,0.52704627669473,0.52704627669473,86.7984282757759,86.7984282757758,86.7984282757759
"7",1.2,0,0,0,10,0.5,0.632455532033676,0.632455532033676,0.632455532033676,95.8338575994181,95.8338575994181,95.8338575994181
"8",1.4,0,0,0,10,0.5,0.737864787372622,0.737864787372622,0.737864787372622,99.0520776507534,99.0520776507534,99.0520776507534
"9",1.6,0,0,0,10,0.5,0.843274042711568,0.843274042711568,0.843274042711568,99.8465715863566,99.8465715863566,99.8465715863566
"10",1.8,0,0,0,10,0.5,0.948683298050514,0.948683298050514,0.948683298050514,99.9824909814139,99.9824909814139,99.9824909814139
"11",2,0,0,0,10,0.5,1.05409255338946,1.05409255338946,1.05409255338946,99.9985996996167,99.9985996996167,99.9985996996167
"12",0,0.2,0,0,10,0.5,0.105409255338946,0.105409255338946,0.105409255338946,9.44388512559687,9.44388512559687,9.44388512559687
"13",0.2,0.2,0,0,10,0.5,0.210818510677892,0,0,23.3814772917958,5,5
"14",0.4,0.2,0,0,10,0.5,0.316227766016838,0.105409255338946,0.105409255338946,45.4976890622469,9.44388512559688,9.44388512559688
"15",0.6,0.2,0,0,10,0.5,0.421637021355784,0.210818510677892,0.210818510677892,69.214061859491,23.3814772917958,23.3814772917958
"16",0.8,0.2,0,0,10,0.5,0.52704627669473,0.316227766016838,0.316227766016838,86.7984282757758,45.4976890622469,45.4976890622469
"17",1,0.2,0,0,10,0.5,0.632455532033676,0.421637021355784,0.421637021355784,95.8338575994181,69.214061859491,69.214061859491
"18",1.2,0.2,0,0,10,0.5,0.737864787372622,0.52704627669473,0.52704627669473,99.0520776507534,86.7984282757759,86.7984282757759
"19",1.4,0.2,0,0,10,0.5,0.843274042711568,0.632455532033676,0.632455532033676,99.8465715863566,95.833857599418,95.8338575994181
"20",1.6,0.2,0,0,10,0.5,0.948683298050514,0.737864787372622,0.737864787372622,99.9824909814139,99.0520776507534,99.0520776507534
"21",1.8,0.2,0,0,10,0.5,1.05409255338946,0.843274042711568,0.843274042711568,99.9985996996167,99.8465715863566,99.8465715863566
"22",2,0.2,0,0,10,0.5,1.15950180872841,0.948683298050514,0.948683298050514,99.9999218432618,99.9824909814139,99.9824909814139
"23",0,0.4,0,0,10,0.5,0.210818510677892,0.210818510677892,0.210818510677892,23.3814772917958,23.3814772917958,23.3814772917958
"24",0.2,0.4,0,0,10,0.5,0.316227766016838,0.105409255338946,0.105409255338946,45.4976890622469,9.44388512559688,9.44388512559688
"25",0.4,0.4,0,0,10,0.5,0.421637021355784,0,0,69.214061859491,5,5
"26",0.6,0.4,0,0,10,0.5,0.52704627669473,0.105409255338946,0.105409255338946,86.7984282757759,9.44388512559687,9.44388512559687
"27",0.8,0.4,0,0,10,0.5,0.632455532033676,0.210818510677892,0.210818510677892,95.8338575994181,23.3814772917958,23.3814772917958
"28",1,0.4,0,0,10,0.5,0.737864787372622,0.316227766016838,0.316227766016838,99.0520776507534,45.4976890622469,45.4976890622469
"29",1.2,0.4,0,0,10,0.5,0.843274042711569,0.421637021355784,0.421637021355784,99.8465715863566,69.214061859491,69.214061859491
"30",1.4,0.4,0,0,10,0.5,0.948683298050514,0.52704627669473,0.52704627669473,99.9824909814139,86.7984282757758,86.7984282757759
"31",1.6,0.4,0,0,10,0.5,1.05409255338946,0.632455532033675,0.632455532033676,99.9985996996167,95.833857599418,95.833857599418
"32",1.8,0.4,0,0,10,0.5,1.15950180872841,0.737864787372622,0.737864787372622,99.9999218432618,99.0520776507534,99.0520776507534
"33",2,0.4,0,0,10,0.5,1.26491106406735,0.843274042711567,0.843274042711568,99.9999969649224,99.8465715863566,99.8465715863566
"34",0,0.6,0,0,10,0.5,0.316227766016838,0.316227766016838,0.316227766016838,45.4976890622469,45.4976890622469,45.4976890622469
"35",0.2,0.6,0,0,10,0.5,0.421637021355784,0.210818510677892,0.210818510677892,69.214061859491,23.3814772917958,23.3814772917958
"36",0.4,0.6,0,0,10,0.5,0.52704627669473,0.105409255338946,0.105409255338946,86.7984282757758,9.44388512559688,9.44388512559688
"37",0.6,0.6,0,0,10,0.5,0.632455532033676,0,0,95.8338575994181,5,5
"38",0.8,0.6,0,0,10,0.5,0.737864787372622,0.105409255338946,0.105409255338946,99.0520776507534,9.44388512559688,9.44388512559688
"39",1,0.6,0,0,10,0.5,0.843274042711568,0.210818510677892,0.210818510677892,99.8465715863566,23.3814772917958,23.3814772917958
"40",1.2,0.6,0,0,10,0.5,0.948683298050514,0.316227766016838,0.316227766016838,99.9824909814139,45.4976890622469,45.4976890622469
"41",1.4,0.6,0,0,10,0.5,1.05409255338946,0.421637021355784,0.421637021355784,99.9985996996167,69.214061859491,69.214061859491
"42",1.6,0.6,0,0,10,0.5,1.15950180872841,0.52704627669473,0.52704627669473,99.9999218432618,86.7984282757759,86.7984282757759
"43",1.8,0.6,0,0,10,0.5,1.26491106406735,0.632455532033676,0.632455532033676,99.9999969649224,95.8338575994181,95.8338575994181
"44",2,0.6,0,0,10,0.5,1.3703203194063,0.737864787372622,0.737864787372622,99.9999999182096,99.0520776507534,99.0520776507534
"45",0,0.8,0,0,10,0.5,0.421637021355784,0.421637021355784,0.421637021355784,69.214061859491,69.214061859491,69.214061859491
"46",0.2,0.8,0,0,10,0.5,0.52704627669473,0.316227766016838,0.316227766016838,86.7984282757758,45.4976890622469,45.4976890622469
"47",0.4,0.8,0,0,10,0.5,0.632455532033676,0.210818510677892,0.210818510677892,95.833857599418,23.3814772917958,23.3814772917958
"48",0.6,0.8,0,0,10,0.5,0.737864787372622,0.105409255338946,0.105409255338946,99.0520776507534,9.44388512559687,9.44388512559687
"49",0.8,0.8,0,0,10,0.5,0.843274042711568,0,0,99.8465715863566,5,5
"50",1,0.8,0,0,10,0.5,0.948683298050514,0.105409255338946,0.105409255338946,99.9824909814139,9.44388512559687,9.44388512559687
"51",1.2,0.8,0,0,10,0.5,1.05409255338946,0.210818510677892,0.210818510677892,99.9985996996167,23.3814772917958,23.3814772917958
"52",1.4,0.8,0,0,10,0.5,1.15950180872841,0.316227766016838,0.316227766016838,99.9999218432618,45.4976890622469,45.4976890622469
"53",1.6,0.8,0,0,10,0.5,1.26491106406735,0.421637021355784,0.421637021355784,99.9999969649224,69.214061859491,69.214061859491
"54",1.8,0.8,0,0,10,0.5,1.3703203194063,0.52704627669473,0.52704627669473,99.9999999182096,86.7984282757758,86.7984282757758
"55",2,0.8,0,0,10,0.5,1.47572957474524,0.632455532033676,0.632455532033676,99.999999998475,95.8338575994181,95.8338575994181
"56",0,1,0,0,10,0.5,0.52704627669473,0.52704627669473,0.52704627669473,86.7984282757758,86.7984282757759,86.7984282757758
"57",0.2,1,0,0,10,0.5,0.632455532033676,0.421637021355784,0.421637021355784,95.833857599418,69.2140618594909,69.214061859491
"58",0.4,1,0,0,10,0.5,0.737864787372622,0.316227766016838,0.316227766016838,99.0520776507534,45.4976890622469,45.4976890622469
"59",0.6,1,0,0,10,0.5,0.843274042711568,0.210818510677892,0.210818510677892,99.8465715863566,23.3814772917957,23.3814772917958
"60",0.8,1,0,0,10,0.5,0.948683298050514,0.105409255338946,0.105409255338946,99.9824909814139,9.44388512559688,9.44388512559688
"61",1,1,0,0,10,0.5,1.05409255338946,0,0,99.9985996996167,5,5
"62",1.2,1,0,0,10,0.5,1.15950180872841,0.105409255338946,0.105409255338946,99.9999218432618,9.44388512559688,9.44388512559688
"63",1.4,1,0,0,10,0.5,1.26491106406735,0.210818510677892,0.210818510677892,99.9999969649224,23.3814772917958,23.3814772917958
"64",1.6,1,0,0,10,0.5,1.3703203194063,0.316227766016838,0.316227766016838,99.9999999182096,45.4976890622469,45.4976890622469
"65",1.8,1,0,0,10,0.5,1.47572957474524,0.421637021355784,0.421637021355784,99.999999998475,69.214061859491,69.214061859491
"66",2,1,0,0,10,0.5,1.58113883008419,0.52704627669473,0.52704627669473,99.9999999999804,86.7984282757759,86.7984282757759
"67",0,1.2,0,0,10,0.5,0.632455532033676,0.632455532033676,0.632455532033676,95.833857599418,95.833857599418,95.8338575994181
"68",0.2,1.2,0,0,10,0.5,0.737864787372622,0.52704627669473,0.52704627669473,99.0520776507534,86.7984282757759,86.7984282757759
"69",0.4,1.2,0,0,10,0.5,0.843274042711568,0.421637021355784,0.421637021355784,99.8465715863566,69.214061859491,69.214061859491
"70",0.6,1.2,0,0,10,0.5,0.948683298050514,0.316227766016838,0.316227766016838,99.9824909814139,45.4976890622469,45.4976890622469
"71",0.8,1.2,0,0,10,0.5,1.05409255338946,0.210818510677892,0.210818510677892,99.9985996996167,23.3814772917958,23.3814772917958
"72",1,1.2,0,0,10,0.5,1.15950180872841,0.105409255338946,0.105409255338946,99.9999218432618,9.44388512559688,9.44388512559688
"73",1.2,1.2,0,0,10,0.5,1.26491106406735,0,0,99.9999969649224,5,5
"74",1.4,1.2,0,0,10,0.5,1.3703203194063,0.105409255338946,0.105409255338946,99.9999999182096,9.44388512559687,9.44388512559687
"75",1.6,1.2,0,0,10,0.5,1.47572957474524,0.210818510677892,0.210818510677892,99.999999998475,23.3814772917958,23.3814772917958
"76",1.8,1.2,0,0,10,0.5,1.58113883008419,0.316227766016838,0.316227766016838,99.9999999999804,45.4976890622468,45.4976890622469
"77",2,1.2,0,0,10,0.5,1.68654808542314,0.421637021355784,0.421637021355784,99.9999999999998,69.214061859491,69.2140618594909
"78",0,1.4,0,0,10,0.5,0.737864787372621,0.737864787372622,0.737864787372622,99.0520776507533,99.0520776507534,99.0520776507534
"79",0.2,1.4,0,0,10,0.5,0.843274042711568,0.632455532033676,0.632455532033676,99.8465715863566,95.833857599418,95.8338575994181
"80",0.4,1.4,0,0,10,0.5,0.948683298050514,0.52704627669473,0.52704627669473,99.9824909814139,86.7984282757759,86.7984282757759
"81",0.6,1.4,0,0,10,0.5,1.05409255338946,0.421637021355784,0.421637021355784,99.9985996996167,69.214061859491,69.214061859491
"82",0.8,1.4,0,0,10,0.5,1.15950180872841,0.316227766016838,0.316227766016838,99.9999218432618,45.4976890622469,45.4976890622469
"83",1,1.4,0,0,10,0.5,1.26491106406735,0.210818510677892,0.210818510677892,99.9999969649224,23.3814772917958,23.3814772917958
"84",1.2,1.4,0,0,10,0.5,1.3703203194063,0.105409255338946,0.105409255338946,99.9999999182096,9.44388512559688,9.44388512559688
"85",1.4,1.4,0,0,10,0.5,1.47572957474524,0,0,99.999999998475,5,5
"86",1.6,1.4,0,0,10,0.5,1.58113883008419,0.105409255338946,0.105409255338946,99.9999999999804,9.44388512559688,9.44388512559688
"87",1.8,1.4,0,0,10,0.5,1.68654808542314,0.210818510677892,0.210818510677892,99.9999999999998,23.3814772917958,23.3814772917958
"88",2,1.4,0,0,10,0.5,1.79195734076208,0.316227766016838,0.316227766016838,100,45.4976890622469,45.4976890622468
"89",0,1.6,0,0,10,0.5,0.843274042711568,0.843274042711568,0.843274042711568,99.8465715863566,99.8465715863566,99.8465715863566
"90",0.2,1.6,0,0,10,0.5,0.948683298050514,0.737864787372622,0.737864787372622,99.9824909814139,99.0520776507534,99.0520776507534
"91",0.4,1.6,0,0,10,0.5,1.05409255338946,0.632455532033676,0.632455532033676,99.9985996996167,95.8338575994181,95.8338575994181
"92",0.6,1.6,0,0,10,0.5,1.15950180872841,0.52704627669473,0.52704627669473,99.9999218432618,86.7984282757758,86.7984282757758
"93",0.8,1.6,0,0,10,0.5,1.26491106406735,0.421637021355784,0.421637021355784,99.9999969649224,69.214061859491,69.214061859491
"94",1,1.6,0,0,10,0.5,1.3703203194063,0.316227766016838,0.316227766016838,99.9999999182096,45.4976890622469,45.4976890622469
"95",1.2,1.6,0,0,10,0.5,1.47572957474524,0.210818510677892,0.210818510677892,99.999999998475,23.3814772917957,23.3814772917958
"96",1.4,1.6,0,0,10,0.5,1.58113883008419,0.105409255338946,0.105409255338946,99.9999999999804,9.44388512559687,9.44388512559687
"97",1.6,1.6,0,0,10,0.5,1.68654808542314,0,0,99.9999999999998,5,5
